module,endpoint,account,http_status,time_sec,detail
Helpdesk,/api/helpdesk/,SUPER_ADMIN,404,4.3,
Visitors,/api/visitors/,SUPER_ADMIN,404,4.4,
DigitalIDs,/api/digital-ids/,SUPER_ADMIN,404,4.4,
Workflow,/api/workflow/,SUPER_ADMIN,404,4.3,
AI,/api/ai/overview/,SUPER_ADMIN,200,6.5,obj
AI,/api/ai/ask/,SUPER_ADMIN,405,4.4,POST only
AI,/api/ai/search/,SUPER_ADMIN,200,4.6,obj
AI,/api/ai/insights/students/,SUPER_ADMIN,200,9.2,obj
AI,/api/ai/insights/attendance/,SUPER_ADMIN,200,6.1,obj
AI,/api/ai/insights/academic/,SUPER_ADMIN,200,5.1,obj
AI,/api/ai/insights/finance/,SUPER_ADMIN,200,5.1,obj
AI,/api/ai/anomalies/,SUPER_ADMIN,200,6.4,obj
AI,/api/ai/communication/draft/,SUPER_ADMIN,405,4.4,POST only
Audit,/api/audit/,SUPER_ADMIN,200,5.1,count=50
Audit,/api/audit/,ADMIN,200,8.7,count=50
Search,/api/search/,SUPER_ADMIN,200,4.2,count=0
Search,/api/search/,ADMIN,200,6.7,count=0
Schools,/api/schools/,SUPER_ADMIN,200,4.8,count=1
Schools,/api/schools/campuses/,SUPER_ADMIN,200,5.3,count=2
Schools,/api/schools/classes/,SUPER_ADMIN,200,4.9,count=2
Schools,/api/schools/sections/,SUPER_ADMIN,200,4.9,count=1
Schools,/api/schools/academic-years/,SUPER_ADMIN,200,4.6,count=2
Communication,/api/communication/notifications/,SUPER_ADMIN,200,4.4,count=0
Events,/api/events/,SUPER_ADMIN,200,4.9,count=0
Discipline,/api/discipline/,SUPER_ADMIN,404,4.3,
HealthRecords,/api/health-records/,SUPER_ADMIN,404,4.2,
Alumni,/api/alumni/,SUPER_ADMIN,200,5.0,count=1
Hostel,/api/hostel/,SUPER_ADMIN,404,4.3,
Portal,/api/portal/,SUPER_ADMIN,404,4.3,
SAAS,/api/saas/,SUPER_ADMIN,404,4.4,
Dashboard,/api/dashboard/overview/,SUPER_ADMIN,200,6.4,obj
Dashboard,/api/dashboard/overview/,ADMIN,200,12.2,obj
Dashboard,/api/dashboard/overview/,TEACHER_01,200,10.1,obj
Dashboard,/api/dashboard/overview/,STUDENT_01,200,9.1,obj
Dashboard,/api/dashboard/overview/,STAFF_01,200,12.1,obj
Dashboard,/api/dashboard/finance/,SUPER_ADMIN,200,5.2,obj
Dashboard,/api/dashboard/finance/,ADMIN,200,10.4,obj
Dashboard,/api/dashboard/finance/breakdown/,SUPER_ADMIN,200,5.1,obj
Dashboard,/api/dashboard/finance/breakdown/,ADMIN,200,10.6,obj
Dashboard,/api/dashboard/summary/,SUPER_ADMIN,404,4.2,
Settings,/api/settings/,SUPER_ADMIN,404,4.6,
Branding,/api/branding/,SUPER_ADMIN,404,4.3,
AuditLogs,/api/audit-logs/,SUPER_ADMIN,404,4.2,
